reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,label,content_tokenize,content_tokens_WSW,content_normalized,content_stemmed,clean_content
gp:AOqpTOFVb300gZ4vqMGGA2QVJgbXGHus_PNRpekUWAgJTymBeQGt0KqfnQNnFt93fyqyoIXIXePkLPIG8SXRQw,CECEP PEWE,https://play-lh.googleusercontent.com/a-/AOh14GgypzPcAxIGgs5y3jn1HbHhng7Muion475x9-R1iA,yth bibit pada hari senin tanggal   bulan maret tahun   jam    wib atas nama cecep puri wardani sudah menghapus aplikasi ini dikarenakan verifikasi akun gagal saya mohon untuk menghapus semua data saya apabila dikemudian hari data saya bocor atau disalahgunakan saya tidak akan bertanggungjawab terimakasih,5,28,3.30.2,2022-03-20 17:20:24,,,1,"['yth', 'bibit', 'pada', 'hari', 'senin', 'tanggal', 'bulan', 'maret', 'tahun', 'jam', 'wib', 'atas', 'nama', 'cecep', 'puri', 'wardani', 'sudah', 'menghapus', 'aplikasi', 'ini', 'dikarenakan', 'verifikasi', 'akun', 'gagal', 'saya', 'mohon', 'untuk', 'menghapus', 'semua', 'data', 'saya', 'apabila', 'dikemudian', 'hari', 'data', 'saya', 'bocor', 'atau', 'disalahgunakan', 'saya', 'tidak', 'akan', 'bertanggungjawab', 'terimakasih']","['yth', 'bibit', 'senin', 'tanggal', 'maret', 'jam', 'wib', 'nama', 'cecep', 'puri', 'wardani', 'menghapus', 'aplikasi', 'verifikasi', 'akun', 'gagal', 'mohon', 'menghapus', 'data', 'dikemudian', 'data', 'bocor', 'disalahgunakan', 'bertanggungjawab', 'terimakasih']","['yth', 'bibit', 'senin', 'tanggal', 'maret', 'jam', 'wib', 'nama', 'cecep', 'puri', 'wardani', 'menghapus', 'aplikasi', 'verifikasi', 'akun', 'gagal', 'mohon', 'menghapus', 'data', 'dikemudian', 'data', 'bocor', 'disalahgunakan', 'bertanggungjawab', 'terimakasih']","['yth', 'bibit', 'senin', 'tanggal', 'maret', 'jam', 'wib', 'nama', 'cecep', 'puri', 'wardani', 'hapus', 'aplikasi', 'verifikasi', 'akun', 'gagal', 'mohon', 'hapus', 'data', 'kemudi', 'data', 'bocor', 'disalahgunakan', 'bertanggungjawab', 'terimakasih']",yth bibit senin tanggal maret jam wib nama cecep puri wardani hapus aplikasi verifikasi akun gagal mohon hapus data kemudi data bocor disalahgunakan bertanggungjawab terimakasih
gp:AOqpTOG8O2ujMmAts-O8FgACGFlYHnAz_c89yyLTi-umF8KNeLxK8MqNoi88oR4imQzp4Z4eF9D4F_9Sc82nNw,Ary Kusumawati,https://play-lh.googleusercontent.com/a-/AOh14GgPNDy7xr8BLZb5uCrG7Pu-Gq_yzH19lx-xUK16Pw,aplikasi ini menarik bangett apalagi nominal minimal tabungannya dimulai dari    yang ramah buat pelajar ditambah ada fitur robo yang sangat membantu untuk saya yang ingin belajar mengenai investasi dengan aplikasi ini tentunya saya bisa menabung sedikit demi sedikit yg pastinya akan memperoleh profit jika diimbangi dengan pemilihan reksadana yg tepat,5,68,3.29.2,2022-03-20 05:21:30,,,1,"['aplikasi', 'ini', 'menarik', 'bangett', 'apalagi', 'nominal', 'minimal', 'tabungannya', 'dimulai', 'dari', 'yang', 'ramah', 'buat', 'pelajar', 'ditambah', 'ada', 'fitur', 'robo', 'yang', 'sangat', 'membantu', 'untuk', 'saya', 'yang', 'ingin', 'belajar', 'mengenai', 'investasi', 'dengan', 'aplikasi', 'ini', 'tentunya', 'saya', 'bisa', 'menabung', 'sedikit', 'demi', 'sedikit', 'yg', 'pastinya', 'akan', 'memperoleh', 'profit', 'jika', 'diimbangi', 'dengan', 'pemilihan', 'reksadana', 'yg', 'tepat']","['aplikasi', 'menarik', 'bangett', 'nominal', 'minimal', 'tabungannya', 'ramah', 'pelajar', 'ditambah', 'fitur', 'robo', 'membantu', 'belajar', 'investasi', 'aplikasi', 'menabung', 'pastinya', 'memperoleh', 'profit', 'diimbangi', 'pemilihan', 'reksadana']","['aplikasi', 'menarik', 'bangett', 'nominal', 'minimal', 'tabungannya', 'ramah', 'pelajar', 'ditambah', 'fitur', 'robo', 'membantu', 'belajar', 'investasi', 'aplikasi', 'menabung', 'pastinya', 'memperoleh', 'profit', 'diimbangi', 'pemilihan', 'reksadana']","['aplikasi', 'tarik', 'bangett', 'nominal', 'minimal', 'tabung', 'ramah', 'ajar', 'tambah', 'fitur', 'robo', 'bantu', 'ajar', 'investasi', 'aplikasi', 'tabung', 'pasti', 'oleh', 'profit', 'imbang', 'pilih', 'reksadana']",aplikasi tarik bangett nominal minimal tabung ramah ajar tambah fitur robo bantu ajar investasi aplikasi tabung pasti oleh profit imbang pilih reksadana
gp:AOqpTOEHT4cUfhjaYrdlIdTwNKrnhs6CE4UqJnkgr47c20JpuoEwr5GX0ysCdpkq-4RxBCA5pZjHPhfYtgaHcQ,Ismail Akbar,https://play-lh.googleusercontent.com/a/AATXAJy0RwFA5s5Jq3E7awGqfVA42L2UmVLLoOi0Vh1_=mo,investasi jangka panjang selama   tahun ujung ujungnya nanti pas mau cair berbelit belit pelajaran aja kaya prudensial udah gak percaya sama ginian mikir dulu dah     capek capek nabung selama sebulan sejuta mending nih kalau broker panjang umur mending nabung invest recehan aja jgn smpai jutaan resikonya juga besar yang ada keraguan,5,288,3.29.3,2022-03-11 08:02:12,,,1,"['investasi', 'jangka', 'panjang', 'selama', 'tahun', 'ujung', 'ujungnya', 'nanti', 'pas', 'mau', 'cair', 'berbelit', 'belit', 'pelajaran', 'aja', 'kaya', 'prudensial', 'udah', 'gak', 'percaya', 'sama', 'ginian', 'mikir', 'dulu', 'dah', 'capek', 'capek', 'nabung', 'selama', 'sebulan', 'sejuta', 'mending', 'nih', 'kalau', 'broker', 'panjang', 'umur', 'mending', 'nabung', 'invest', 'recehan', 'aja', 'jgn', 'smpai', 'jutaan', 'resikonya', 'juga', 'besar', 'yang', 'ada', 'keraguan']","['investasi', 'jangka', 'ujung', 'ujungnya', 'pas', 'cair', 'berbelit', 'belit', 'pelajaran', 'kaya', 'prudensial', 'udah', 'percaya', 'ginian', 'mikir', 'dah', 'capek', 'capek', 'nabung', 'sebulan', 'sejuta', 'mending', 'broker', 'umur', 'mending', 'nabung', 'invest', 'recehan', 'smpai', 'jutaan', 'resikonya', 'keraguan']","['investasi', 'jangka', 'ujung', 'ujungnya', 'pas', 'cair', 'berbelit', 'belit', 'pelajaran', 'kaya', 'prudensial', 'udah', 'percaya', 'ginian', 'mikir', 'dah', 'capek', 'capek', 'nabung', 'sebulan', 'sejuta', 'mending', 'broker', 'umur', 'mending', 'nabung', 'invest', 'recehan', 'smpai', 'jutaan', 'resikonya', 'keraguan']","['investasi', 'jangka', 'ujung', 'ujung', 'pas', 'cair', 'belit', 'belit', 'ajar', 'kaya', 'prudensial', 'udah', 'percaya', 'ginian', 'mikir', 'dah', 'capek', 'capek', 'nabung', 'bulan', 'juta', 'mending', 'broker', 'umur', 'mending', 'nabung', 'invest', 'receh', 'smpai', 'juta', 'resiko', 'ragu']",investasi jangka ujung ujung pas cair belit belit ajar kaya prudensial udah percaya ginian mikir dah capek capek nabung bulan juta mending broker umur mending nabung invest receh smpai juta resiko ragu
gp:AOqpTOH9Y-bqBeOTLze_OiTXfwaedugwwN5Cpbsw8udfIm5Qm11J_6KQ-SA_3dvgb34qkRWcYLca8uwMD8NIaw,Sahrizal Smart,https://play-lh.googleusercontent.com/a-/AOh14GhD-mLJtmL2EAYHVMctM5nGT2KbLI3Qj2ky-W-F,gunakan refferal berlalu ya biar kita sukses sama sama perbedaan antara negara maju dan negara berkembang adalah negara berkembang orang kerja keras namun assetnya tidur sementara negara maju orangnya kerja biasa saja namun mampu mengerjakan seluruh assetnya yok bergabung,5,41,3.30.2,2022-03-20 05:41:48,,,1,"['gunakan', 'refferal', 'berlalu', 'ya', 'biar', 'kita', 'sukses', 'sama', 'sama', 'perbedaan', 'antara', 'negara', 'maju', 'dan', 'negara', 'berkembang', 'adalah', 'negara', 'berkembang', 'orang', 'kerja', 'keras', 'namun', 'assetnya', 'tidur', 'sementara', 'negara', 'maju', 'orangnya', 'kerja', 'biasa', 'saja', 'namun', 'mampu', 'mengerjakan', 'seluruh', 'assetnya', 'yok', 'bergabung']","['refferal', 'sukses', 'perbedaan', 'negara', 'maju', 'negara', 'berkembang', 'negara', 'berkembang', 'orang', 'kerja', 'keras', 'assetnya', 'tidur', 'negara', 'maju', 'orangnya', 'kerja', 'assetnya', 'yok', 'bergabung']","['refferal', 'sukses', 'perbedaan', 'negara', 'maju', 'negara', 'berkembang', 'negara', 'berkembang', 'orang', 'kerja', 'keras', 'assetnya', 'tidur', 'negara', 'maju', 'orangnya', 'kerja', 'assetnya', 'yok', 'bergabung']","['refferal', 'sukses', 'beda', 'negara', 'maju', 'negara', 'kembang', 'negara', 'kembang', 'orang', 'kerja', 'keras', 'assetnya', 'tidur', 'negara', 'maju', 'orang', 'kerja', 'assetnya', 'yok', 'gabung']",refferal sukses beda negara maju negara kembang negara kembang orang kerja keras assetnya tidur negara maju orang kerja assetnya yok gabung
gp:AOqpTOEImGiDJQDFw-B6u5ItYCsrasMCUNdWkwc0v5xi7V-kCe10WpL-Wt9D-b6G8l4PS637WVGswcUrAV5btA,Nhytha Sulis,https://play-lh.googleusercontent.com/a/AATXAJzPz-iUpvkQmVNjn7nXaWSRyayzldZ6MfLy7HQY=mo,awalnya bingung mau investasi apa terus sering banget liat iklan di youtube dan yang ngrekomendasiin deddy corbuzier sempat berbulanbulan mikir  akhirnya nyoba aja dulu dari mulai registrasi sampai keterima excited sekali karena mudah banget dan aman bagi pemula di coba registrasi aja dulu kalau perlu pake kode refferal nitas bisa dapetin cashbacknya rp    yuk tumbuh bersama bibit ,5,105,3.29.2,2022-03-17 12:27:28,,,1,"['awalnya', 'bingung', 'mau', 'investasi', 'apa', 'terus', 'sering', 'banget', 'liat', 'iklan', 'di', 'youtube', 'dan', 'yang', 'ngrekomendasiin', 'deddy', 'corbuzier', 'sempat', 'berbulanbulan', 'mikir', 'akhirnya', 'nyoba', 'aja', 'dulu', 'dari', 'mulai', 'registrasi', 'sampai', 'keterima', 'excited', 'sekali', 'karena', 'mudah', 'banget', 'dan', 'aman', 'bagi', 'pemula', 'di', 'coba', 'registrasi', 'aja', 'dulu', 'kalau', 'perlu', 'pake', 'kode', 'refferal', 'nitas', 'bisa', 'dapetin', 'cashbacknya', 'rp', 'yuk', 'tumbuh', 'bersama', 'bibit']","['bingung', 'investasi', 'banget', 'liat', 'iklan', 'youtube', 'ngrekomendasiin', 'deddy', 'corbuzier', 'berbulanbulan', 'mikir', 'nyoba', 'registrasi', 'keterima', 'excited', 'mudah', 'banget', 'aman', 'pemula', 'coba', 'registrasi', 'pake', 'kode', 'refferal', 'nitas', 'dapetin', 'cashbacknya', 'rp', 'yuk', 'tumbuh', 'bibit']","['bingung', 'investasi', 'banget', 'liat', 'iklan', 'youtube', 'ngrekomendasiin', 'deddy', 'corbuzier', 'berbulanbulan', 'mikir', 'nyoba', 'registrasi', 'keterima', 'excited', 'mudah', 'banget', 'aman', 'pemula', 'coba', 'registrasi', 'pake', 'kode', 'refferal', 'nitas', 'dapetin', 'cashbacknya', 'rp', 'yuk', 'tumbuh', 'bibit']","['bingung', 'investasi', 'banget', 'liat', 'iklan', 'youtube', 'ngrekomendasiin', 'deddy', 'corbuzier', 'berbulanbulan', 'mikir', 'nyoba', 'registrasi', 'terima', 'excited', 'mudah', 'banget', 'aman', 'mula', 'coba', 'registrasi', 'pake', 'kode', 'refferal', 'nitas', 'dapetin', 'cashbacknya', 'rp', 'yuk', 'tumbuh', 'bibit']",bingung investasi banget liat iklan youtube ngrekomendasiin deddy corbuzier berbulanbulan mikir nyoba registrasi terima excited mudah banget aman mula coba registrasi pake kode refferal nitas dapetin cashbacknya rp yuk tumbuh bibit
gp:AOqpTOGq8w7RHphM3s5gGABB2b5_i7SSB5DC5rbGKSSt4ujsFh_VoIqwfpg-VF3LNLwPcvW_sXbErudMUEAYqA,Muhammad Habib Al Ghazali,https://play-lh.googleusercontent.com/a-/AOh14GjKH5QyZcPT1tuie5dUUmYAFfxOIQWiLu1wXkvG-g,saya widraw    lalu nunggu    hari setelah   hari saya cek saldo cuma masuk  kkemana    nya apakah bibit ini penipuan  saya sarankan hati  buat pemula apalagi sampai deposit besar andisini anda semua tidak akan mendapatkan untung yg diharapkanterima kasih,1,108,3.29.3,2022-03-11 08:59:45,"Hai kak, dana penjualan mengikuti NAV yg kakak dapat dan dikirim bertahap oleh Bank Kustodian ke rekening terdaftar di Bibit sesuai ketentuan OJK maks 3 hari kerja utk RD Pasar Uang dan maks 7 hari kerja utk RD Saham & Obligasi. Jika lebih dari itu dana belum masuk, hubungi live chat Bibit/WA +622150864230 agar tim support bantu lebih lanjut. Trims",2022-03-11 09:24:57,0,"['saya', 'widraw', 'lalu', 'nunggu', 'hari', 'setelah', 'hari', 'saya', 'cek', 'saldo', 'cuma', 'masuk', 'kkemana', 'nya', 'apakah', 'bibit', 'ini', 'penipuan', 'saya', 'sarankan', 'hati', 'buat', 'pemula', 'apalagi', 'sampai', 'deposit', 'besar', 'andisini', 'anda', 'semua', 'tidak', 'akan', 'mendapatkan', 'untung', 'yg', 'diharapkanterima', 'kasih']","['widraw', 'nunggu', 'cek', 'saldo', 'masuk', 'kkemana', 'bibit', 'penipuan', 'sarankan', 'hati', 'pemula', 'deposit', 'andisini', 'untung', 'diharapkanterima', 'kasih']","['widraw', 'nunggu', 'cek', 'saldo', 'masuk', 'kkemana', 'bibit', 'penipuan', 'sarankan', 'hati', 'pemula', 'deposit', 'andisini', 'untung', 'diharapkanterima', 'kasih']","['widraw', 'nunggu', 'cek', 'saldo', 'masuk', 'kkemana', 'bibit', 'tipu', 'saran', 'hati', 'mula', 'deposit', 'andisini', 'untung', 'diharapkanterima', 'kasih']",widraw nunggu cek saldo masuk kkemana bibit tipu saran hati mula deposit andisini untung diharapkanterima kasih
gp:AOqpTOGX1TDhZp-F0N9qohq1P3jM5Jy0Q7iCsrZy9hQ5rhAKptR7jURpWv3DX5Uxa4nmk-A8Y80Wwt8DgkCYVA,anggi zidan,https://play-lh.googleusercontent.com/a-/AOh14GhfR8DvNuCD-iiVS-7eS_0EypalC60sCPbYyCMX,aplikasi ga jelas jgn download pasti nanti nyesal bagi yg suka cari promo ini aplikasi promomya paling gajelas udah ikut semua persyaratanya hadiahnya ga dapat alasannya pun ga jelas fix app sampah,1,17,3.29.3,2022-03-15 03:22:54,"Hai kak, untuk promo pastikan sudah memenuhi S&K berlaku dan jika sudah memenuhi syarat kemungkinan promo sudah habis karena jumlah kuota promo terbatas. Info lebih lanjut hubungi live chat Bibit atau WA +622150864230, tim support kami pasti langsung membantu masalah kakak. Terima kasih",2022-03-15 03:52:40,0,"['aplikasi', 'ga', 'jelas', 'jgn', 'download', 'pasti', 'nanti', 'nyesal', 'bagi', 'yg', 'suka', 'cari', 'promo', 'ini', 'aplikasi', 'promomya', 'paling', 'gajelas', 'udah', 'ikut', 'semua', 'persyaratanya', 'hadiahnya', 'ga', 'dapat', 'alasannya', 'pun', 'ga', 'jelas', 'fix', 'app', 'sampah']","['aplikasi', 'download', 'nyesal', 'suka', 'cari', 'promo', 'aplikasi', 'promomya', 'gajelas', 'udah', 'persyaratanya', 'hadiahnya', 'alasannya', 'fix', 'app', 'sampah']","['aplikasi', 'download', 'nyesal', 'suka', 'cari', 'promo', 'aplikasi', 'promomya', 'gajelas', 'udah', 'persyaratanya', 'hadiahnya', 'alasannya', 'fix', 'app', 'sampah']","['aplikasi', 'download', 'nyesal', 'suka', 'cari', 'promo', 'aplikasi', 'promomya', 'gajelas', 'udah', 'persyaratanya', 'hadiah', 'alas', 'fix', 'app', 'sampah']",aplikasi download nyesal suka cari promo aplikasi promomya gajelas udah persyaratanya hadiah alas fix app sampah
gp:AOqpTOHZ73BgW3MGzqviO1_Qds6U_vDsluNqlI1MJVG_rsZmecZh-oz3gVM9xGpQmazyqqcWT6AiHepZPx0oxQ,Samres3 Chanel,https://play-lh.googleusercontent.com/a-/AOh14GhCuJQD4a4qdOyb962ncz4tNcOEPpY-q7oTkRbBGQ,saya percaya pada bibit karena om dedy padahal dalam hati juga ragu takutnya seperti trading lain yg sekarang lagi bermasalah dan bikin afiliatornya terjerat kasus hukum tetapi semoga saja tidak karena saya masih percaya sama om dedy,3,39,3.29.3,2022-03-10 01:10:08,,,0,"['saya', 'percaya', 'pada', 'bibit', 'karena', 'om', 'dedy', 'padahal', 'dalam', 'hati', 'juga', 'ragu', 'takutnya', 'seperti', 'trading', 'lain', 'yg', 'sekarang', 'lagi', 'bermasalah', 'dan', 'bikin', 'afiliatornya', 'terjerat', 'kasus', 'hukum', 'tetapi', 'semoga', 'saja', 'tidak', 'karena', 'saya', 'masih', 'percaya', 'sama', 'om', 'dedy']","['percaya', 'bibit', 'om', 'dedy', 'hati', 'ragu', 'takutnya', 'trading', 'bermasalah', 'afiliatornya', 'terjerat', 'hukum', 'semoga', 'percaya', 'om', 'dedy']","['percaya', 'bibit', 'om', 'dedy', 'hati', 'ragu', 'takutnya', 'trading', 'bermasalah', 'afiliatornya', 'terjerat', 'hukum', 'semoga', 'percaya', 'om', 'dedy']","['percaya', 'bibit', 'om', 'dedy', 'hati', 'ragu', 'takut', 'trading', 'masalah', 'afiliatornya', 'jerat', 'hukum', 'moga', 'percaya', 'om', 'dedy']",percaya bibit om dedy hati ragu takut trading masalah afiliatornya jerat hukum moga percaya om dedy
gp:AOqpTOF_WqOYKyzUYHx_CQWHE61TrAFqdial26l3g7HxjNqyTlb8eYiT6GwQPFfQSSYPW0VeOOaXtwrqENxgFA,dewi rosaria,https://play-lh.googleusercontent.com/a-/AOh14GjJhbEi62obFL5YztgepmwRUwdzD-WXSvqJdNSKWw,mengikuti bibit itu seperti jebakan batman sebenarnya ga untung mlah buntung tapi bikin penasaran lebih baik uang kita tabung di deposito saja tiap bulan pasti ada bagi hasil meskipun sedikit saya sudah mengalami berulang kali dana minus taruh   juta eh malah kepotong  gak cocok kayanya saya ikutan kaya gini tp krn penasaran saya masih bertahan pd obligasi yg drawdownnya    hahaha entahlah  buntung tapi penasaran terus,1,131,3.29.3,2022-03-16 20:36:05,"Hai kak, NAB dapat berubah mengikuti keadaan ekonomi & kinerja Manajer Investasi. Tetap fokus investasi rutin utk memperoleh harga rata-rata terbaik, agar saat harga turun akan terhindar dari kerugian yg terlalu besar. Info lebih lanjut hubungi layanan live chat Bibit atau WA +622150864230, tim support akan langsung membantu kakak. Terima kasih",2022-03-17 04:33:02,0,"['mengikuti', 'bibit', 'itu', 'seperti', 'jebakan', 'batman', 'sebenarnya', 'ga', 'untung', 'mlah', 'buntung', 'tapi', 'bikin', 'penasaran', 'lebih', 'baik', 'uang', 'kita', 'tabung', 'di', 'deposito', 'saja', 'tiap', 'bulan', 'pasti', 'ada', 'bagi', 'hasil', 'meskipun', 'sedikit', 'saya', 'sudah', 'mengalami', 'berulang', 'kali', 'dana', 'minus', 'taruh', 'juta', 'eh', 'malah', 'kepotong', 'gak', 'cocok', 'kayanya', 'saya', 'ikutan', 'kaya', 'gini', 'tp', 'krn', 'penasaran', 'saya', 'masih', 'bertahan', 'pd', 'obligasi', 'yg', 'drawdownnya', 'hahaha', 'entahlah', 'buntung', 'tapi', 'penasaran', 'terus']","['mengikuti', 'bibit', 'jebakan', 'batman', 'untung', 'mlah', 'buntung', 'penasaran', 'uang', 'tabung', 'deposito', 'hasil', 'mengalami', 'berulang', 'kali', 'dana', 'minus', 'taruh', 'juta', 'eh', 'kepotong', 'cocok', 'kayanya', 'ikutan', 'kaya', 'gini', 'tp', 'penasaran', 'bertahan', 'pd', 'obligasi', 'drawdownnya', 'hahaha', 'buntung', 'penasaran']","['mengikuti', 'bibit', 'jebakan', 'batman', 'untung', 'mlah', 'buntung', 'penasaran', 'uang', 'tabung', 'deposito', 'hasil', 'mengalami', 'berulang', 'kali', 'dana', 'minus', 'taruh', 'juta', 'eh', 'kepotong', 'cocok', 'kayanya', 'ikutan', 'kaya', 'gini', 'tp', 'penasaran', 'bertahan', 'pd', 'obligasi', 'drawdownnya', 'hahaha', 'buntung', 'penasaran']","['ikut', 'bibit', 'jebak', 'batman', 'untung', 'mlah', 'buntung', 'penasaran', 'uang', 'tabung', 'deposito', 'hasil', 'alami', 'ulang', 'kali', 'dana', 'minus', 'taruh', 'juta', 'eh', 'potong', 'cocok', 'kaya', 'ikut', 'kaya', 'gin', 'tp', 'penasaran', 'tahan', 'pd', 'obligasi', 'drawdownnya', 'hahaha', 'buntung', 'penasaran']",ikut bibit jebak batman untung mlah buntung penasaran uang tabung deposito hasil alami ulang kali dana minus taruh juta eh potong cocok kaya ikut kaya gin tp penasaran tahan pd obligasi drawdownnya hahaha buntung penasaran
gp:AOqpTOE6OkmTIep8SpLrJKE-o9qsaTU3OaH_hObbNLBkU-WKe-dEy1hzKWlpgX-ZyIR8yFs6c2qakZsP62lVrQ,Boy Permana,https://play-lh.googleusercontent.com/a-/AOh14Gi_yudYrKI5c-VJg8pbsd-7Cz8SEufPH_eUxdlUgw,komen yg negatif selalu di hapus  saya iseng  investasi terus wd eh ternyata proses wd nya memakan waktu  minggu bahkan lebih alhasil gak saya teruskan lah padahal kalau proses wd nya bisa lebih cepat saya akan ajak teman  saya untuk investasi di platformaplikasi ini menang sudah legal dan di awasi ojk doang,1,66,3.30.2,2022-03-18 06:26:28,"Hai kak, pencairan dana ditransfer langsung dari Bank Kustodian setiap produk reksadana bisa saja berbeda waktunya. Jika dana penjualan blm diterima & sudah batas waktu dari tanggal Order Jual Berhasil (3 hari kerja utk RD Pasar Uang & 7 hari kerja utk RD Saham dan Obligasi). Silahkan langsung hubungi live chat Bibit/WA +622150864230. Terima kasih",2022-03-18 06:17:46,0,"['komen', 'yg', 'negatif', 'selalu', 'di', 'hapus', 'saya', 'iseng', 'investasi', 'terus', 'wd', 'eh', 'ternyata', 'proses', 'wd', 'nya', 'memakan', 'waktu', 'minggu', 'bahkan', 'lebih', 'alhasil', 'gak', 'saya', 'teruskan', 'lah', 'padahal', 'kalau', 'proses', 'wd', 'nya', 'bisa', 'lebih', 'cepat', 'saya', 'akan', 'ajak', 'teman', 'saya', 'untuk', 'investasi', 'di', 'platformaplikasi', 'ini', 'menang', 'sudah', 'legal', 'dan', 'di', 'awasi', 'ojk', 'doang']","['komen', 'negatif', 'hapus', 'iseng', 'investasi', 'wd', 'eh', 'proses', 'wd', 'memakan', 'minggu', 'alhasil', 'teruskan', 'proses', 'wd', 'cepat', 'ajak', 'teman', 'investasi', 'platformaplikasi', 'menang', 'legal', 'awasi', 'ojk', 'doang']","['komen', 'negatif', 'hapus', 'iseng', 'investasi', 'wd', 'eh', 'proses', 'wd', 'memakan', 'minggu', 'alhasil', 'teruskan', 'proses', 'wd', 'cepat', 'ajak', 'teman', 'investasi', 'platformaplikasi', 'menang', 'legal', 'awasi', 'ojk', 'doang']","['komen', 'negatif', 'hapus', 'iseng', 'investasi', 'wd', 'eh', 'proses', 'wd', 'makan', 'minggu', 'alhasil', 'terus', 'proses', 'wd', 'cepat', 'ajak', 'teman', 'investasi', 'platformaplikasi', 'menang', 'legal', 'awas', 'ojk', 'doang']",komen negatif hapus iseng investasi wd eh proses wd makan minggu alhasil terus proses wd cepat ajak teman investasi platformaplikasi menang legal awas ojk doang
