reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOFVb300gZ4vqMGGA2QVJgbXGHus_PNRpekUWAgJTymBeQGt0KqfnQNnFt93fyqyoIXIXePkLPIG8SXRQw,CECEP PEWE,https://play-lh.googleusercontent.com/a-/AOh14GgypzPcAxIGgs5y3jn1HbHhng7Muion475x9-R1iA,"Yth Bibit, pada hari senin tanggal 21 bulan maret tahun 2022 jam 00:20 wib atas nama CECEP PURI WARDANI sudah menghapus aplikasi ini, dikarenakan verifikasi akun gagal, saya mohon untuk menghapus semua data saya, apabila dikemudian hari data saya bocor atau disalahgunakan, saya tidak akan bertanggungjawab, terimakasih.",5,28,3.30.2,2022-03-20 17:20:24,,
gp:AOqpTOG8O2ujMmAts-O8FgACGFlYHnAz_c89yyLTi-umF8KNeLxK8MqNoi88oR4imQzp4Z4eF9D4F_9Sc82nNw,Ary Kusumawati,https://play-lh.googleusercontent.com/a-/AOh14GgPNDy7xr8BLZb5uCrG7Pu-Gq_yzH19lx-xUK16Pw,"aplikasi ini menarik bangett, apalagi nominal minimal tabungannya dimulai dari 10.000 yang ramah buat pelajar. Ditambah ada fitur robo yang sangat membantu untuk saya yang ingin belajar mengenai investasi. Dengan aplikasi ini, tentunya saya bisa menabung sedikit demi sedikit yg pastinya akan memperoleh profit jika diimbangi dengan pemilihan reksadana yg tepat👍",5,68,3.29.2,2022-03-20 05:21:30,,
gp:AOqpTOEHT4cUfhjaYrdlIdTwNKrnhs6CE4UqJnkgr47c20JpuoEwr5GX0ysCdpkq-4RxBCA5pZjHPhfYtgaHcQ,Ismail Akbar,https://play-lh.googleusercontent.com/a/AATXAJy0RwFA5s5Jq3E7awGqfVA42L2UmVLLoOi0Vh1_=mo,"Investasi jangka panjang selama 10 tahun, ujung ujungnya nanti pas mau cair berbelit belit, pelajaran aja kaya prudensial, udah gak percaya sama ginian, mikir dulu dah 10x .. Capek capek nabung selama sebulan sejuta, mending nih kalau broker panjang umur, mending nabung/ invest recehan aja jgn smpai jutaan resikonya juga besar yang ada keraguan",5,288,3.29.3,2022-03-11 08:02:12,,
gp:AOqpTOH9Y-bqBeOTLze_OiTXfwaedugwwN5Cpbsw8udfIm5Qm11J_6KQ-SA_3dvgb34qkRWcYLca8uwMD8NIaw,Sahrizal Smart,https://play-lh.googleusercontent.com/a-/AOh14GhD-mLJtmL2EAYHVMctM5nGT2KbLI3Qj2ky-W-F,"Gunakan refferal ""berlalu"" ya, biar kita sukses sama sama². Perbedaan antara negara maju dan negara berkembang adalah. Negara berkembang orang kerja keras namun assetnya tidur sementara negara maju orangnya kerja biasa saja namun mampu mengerjakan seluruh assetnya. Yok bergabung.",5,41,3.30.2,2022-03-20 05:41:48,,
gp:AOqpTOEImGiDJQDFw-B6u5ItYCsrasMCUNdWkwc0v5xi7V-kCe10WpL-Wt9D-b6G8l4PS637WVGswcUrAV5btA,Nhytha Sulis,https://play-lh.googleusercontent.com/a/AATXAJzPz-iUpvkQmVNjn7nXaWSRyayzldZ6MfLy7HQY=mo,"Awalnya bingung mau investasi apa.. terus sering banget liat iklan di youtube.. dan yang ngrekomendasiin Deddy Corbuzier.. sempat berbulan-bulan mikir . Akhirnya nyoba aja dulu, dari mulai registrasi sampai keterima.. excited sekali.. karena mudah banget dan aman. Bagi pemula di coba registrasi aja dulu.., kalau perlu pake kode refferal ""nitas"" bisa dapetin cashbacknya Rp. 25.000. Yuk tumbuh bersama bibit !",5,105,3.29.2,2022-03-17 12:27:28,,
gp:AOqpTOGq8w7RHphM3s5gGABB2b5_i7SSB5DC5rbGKSSt4ujsFh_VoIqwfpg-VF3LNLwPcvW_sXbErudMUEAYqA,Muhammad Habib Al Ghazali,https://play-lh.googleusercontent.com/a-/AOh14GjKH5QyZcPT1tuie5dUUmYAFfxOIQWiLu1wXkvG-g,"saya widraw 100k lalu nunggu 2-3 hari, setelah 3 hari saya cek saldo cuma masuk 7k.,,kemana 93k nya? apakah BIBIT ini penipuan ? saya sarankan hati2 buat pemula apalagi sampai deposit besar2an,,disini anda semua tidak akan mendapatkan untung yg diharapkan...Terima kasih.",1,108,3.29.3,2022-03-11 08:59:45,"Hai kak, dana penjualan mengikuti NAV yg kakak dapat dan dikirim bertahap oleh Bank Kustodian ke rekening terdaftar di Bibit sesuai ketentuan OJK maks 3 hari kerja utk RD Pasar Uang dan maks 7 hari kerja utk RD Saham & Obligasi. Jika lebih dari itu dana belum masuk, hubungi live chat Bibit/WA +622150864230 agar tim support bantu lebih lanjut. Trims",2022-03-11 09:24:57
gp:AOqpTOGX1TDhZp-F0N9qohq1P3jM5Jy0Q7iCsrZy9hQ5rhAKptR7jURpWv3DX5Uxa4nmk-A8Y80Wwt8DgkCYVA,anggi zidan,https://play-lh.googleusercontent.com/a-/AOh14GhfR8DvNuCD-iiVS-7eS_0EypalC60sCPbYyCMX,"Aplikasi ga jelas. Jgn download pasti nanti nyesal. Bagi yg suka cari promo ini aplikasi promomya paling gajelas. Udah ikut semua persyaratanya hadiahnya ga dapat, alasannya pun ga jelas. FIX APP SAMPAH.",1,17,3.29.3,2022-03-15 03:22:54,"Hai kak, untuk promo pastikan sudah memenuhi S&K berlaku dan jika sudah memenuhi syarat kemungkinan promo sudah habis karena jumlah kuota promo terbatas. Info lebih lanjut hubungi live chat Bibit atau WA +622150864230, tim support kami pasti langsung membantu masalah kakak. Terima kasih",2022-03-15 03:52:40
gp:AOqpTOHZ73BgW3MGzqviO1_Qds6U_vDsluNqlI1MJVG_rsZmecZh-oz3gVM9xGpQmazyqqcWT6AiHepZPx0oxQ,Samres3 Chanel,https://play-lh.googleusercontent.com/a-/AOh14GhCuJQD4a4qdOyb962ncz4tNcOEPpY-q7oTkRbBGQ,"Saya percaya pada bibit karena om Dedy. Padahal dalam hati juga ragu, takutnya seperti trading lain yg sekarang lagi bermasalah dan bikin afiliatornya terjerat kasus hukum. Tetapi semoga saja tidak, karena saya masih percaya sama om Dedy.",3,39,3.29.3,2022-03-10 01:10:08,,
gp:AOqpTOF_WqOYKyzUYHx_CQWHE61TrAFqdial26l3g7HxjNqyTlb8eYiT6GwQPFfQSSYPW0VeOOaXtwrqENxgFA,dewi rosaria,https://play-lh.googleusercontent.com/a-/AOh14GjJhbEi62obFL5YztgepmwRUwdzD-WXSvqJdNSKWw,"Mengikuti bibit itu seperti jebakan batman. Sebenarnya ga untung mlah buntung, tapi bikin penasaran. Lebih baik uang kita tabung di deposito saja, tiap bulan pasti ada bagi hasil meskipun sedikit. Saya sudah mengalami berulang kali dana minus. Taruh 1 juta eh malah kepotong . Gak cocok kayanya saya ikutan kaya gini. Tp krn penasaran, saya masih bertahan pd obligasi yg drawdownnya 0 % hahaha, entahlah , buntung tapi penasaran terus",1,131,3.29.3,2022-03-16 20:36:05,"Hai kak, NAB dapat berubah mengikuti keadaan ekonomi & kinerja Manajer Investasi. Tetap fokus investasi rutin utk memperoleh harga rata-rata terbaik, agar saat harga turun akan terhindar dari kerugian yg terlalu besar. Info lebih lanjut hubungi layanan live chat Bibit atau WA +622150864230, tim support akan langsung membantu kakak. Terima kasih",2022-03-17 04:33:02
gp:AOqpTOE6OkmTIep8SpLrJKE-o9qsaTU3OaH_hObbNLBkU-WKe-dEy1hzKWlpgX-ZyIR8yFs6c2qakZsP62lVrQ,Boy Permana,https://play-lh.googleusercontent.com/a-/AOh14Gi_yudYrKI5c-VJg8pbsd-7Cz8SEufPH_eUxdlUgw,komen yg negatif selalu di hapus .. saya iseng2 investasi terus WD eh ternyata proses WD nya memakan waktu 2minggu bahkan lebih alhasil gak saya teruskan lah padahal kalau proses WD nya bisa lebih cepat saya akan ajak teman2 saya untuk investasi di platform/aplikasi ini Menang sudah legal dan di awasi OJK doang,1,66,3.30.2,2022-03-18 06:26:28,"Hai kak, pencairan dana ditransfer langsung dari Bank Kustodian setiap produk reksadana bisa saja berbeda waktunya. Jika dana penjualan blm diterima & sudah batas waktu dari tanggal Order Jual Berhasil (3 hari kerja utk RD Pasar Uang & 7 hari kerja utk RD Saham dan Obligasi). Silahkan langsung hubungi live chat Bibit/WA +622150864230. Terima kasih",2022-03-18 06:17:46
