data_prediksi,hasil_prediksi,aktual
"['bibitid', 'itikad', 'baik', 'sekaliuang', 'tolong', 'kembalikanjangan', 'iniyang', 'usaha', 'bisnis', 'investasi', 'nama', 'bukti', 'nihiltolong', 'lagikembalikan', 'uang']",0,0
"['apl', 'bibit', 'dpat', 'buka']",1,1
"['mantep', 'rem', 'investasi', 'mula']",1,1
"['alam', 'puas', 'banget', 'syarat', 'daftar', 'simple', 'ribet', 'beli', 'gampang', 'udah', 'atur', 'robo', 'user', 'tinggal', 'pakai', 'modal', 'robo', 'atur', 'ramah', 'investor', 'mula', 'artikel', 'kamus', 'aplikasi', 'bantu', 'ajar', 'investasi', 'btw', 'pake', 'hasil', 'lho', 'mantep', 'pokok']",1,1
"['bantu', 'capai', 'target', 'tuju', 'dlm', 'atur', 'uang', 'harap', 'capai']",1,1
"['ko', 'aplikasi', 'bibit', 'buka']",0,1
"['aplikasi', 'bohong', 'dapet', 'rb', 'eh', 'ter', 'bohong']",0,0
"['login', 'gagal', 'trus']",0,0
"['aplikasi', 'bagus', 'pakai', 'kode', 'referal', 'mraqqab', 'rp']",1,1
"['wkwkw', 'mati', 'lo', 'min', 'lu', 'nyari', 'mula', 'invest', 'netijen', 'pikir', 'gampang', 'kayak', 'top', 'up', 'koin', 'investasi', 'mbak', 'netijen', 'udah', 'bikinin', 'platfrom', 'ajar', 'inves', 'inves', 'guys', 'pinjol', 'ato', 'koprasi', 'simpan', 'pinjam', 'duit', 'lu', 'puterin', 'muter', 'gampang', 'lo', 'narik', 'atm', 'lol', 'uang', 'beliin', 'mo', 'jual', 'beli', 'bibit', 'ni', 'ngegampangin', 'proses', 'lu', 'brang', 'lu', 'jual', 'untung']",0,1
"['bagus', 'apl', 'moga', 'masuk', 'saldo']",1,1
"['gua', 'ajar', 'kenal', 'investasi', 'portovolio', 'dll', 'bibit', 'bibit', 'udah', 'gampang', 'simple', 'lg', 'dar', 'masuk', 'dirasain', 'wd', 'tp', 'bibit', 'the', 'best']",1,1
"['bagus', 'cair', 'banget', 'nunggu', 'dri', 'bank', 'kustodian', 'trus', 'nunggu', 'transfer', 'jdi', 'total', 'proses', 'cepat', 'update', 'grafik', 'update', 'kadang', 'kalah', 'aplikasi', 'belah']",0,1
"['salah', 'pilih', 'apk', 'investasi', 'sukses', 'bibit', 'kuy', 'dowload', 'pake', 'kode', 'dfqxkyn', 'dapat', 'bonus', 'langsung']",1,1
"['mula', 'bidang', 'investasi', 'aplikasi', 'bibit', 'newbie', 'friendly', 'gampang', 'supportnya', 'oke', 'apa', 'nggak', 'paham', 'langsung', 'cari', 'aplikasi', 'forum', 'telegram', 'tabung', 'bank', 'endap', 'cuan', 'bantu', 'bibit']",1,1
"['sumpah', 'gk', 'qw', 'investasi', 'eh', 'kurang', 'mending', 'taruh', 'bang', 'bunga', 'dr', 'pd', 'kurang', 'kayak', 'gin', 'proses', 'wd', 'banget', 'nak', 'pajak', 'sumpah', 'gua', 'nyesel', 'bgt', 'instal', 'apk']",0,0
"['kalinanti', 'perkembangannyasejauh', 'bagus']",1,1
"['mantab', 'hasil', 'moga', 'gampang', 'wd', 'aamiin', 'kasih', 'bintang', 'kl', 'wd', 'bintang']",0,1
['bantu'],1,1
"['mula', 'aplikasi', 'bantu', 'tingkat', 'akses', 'fitur', 'mudah', 'aplikasi', 'trimakasih']",1,1
"['bener', 'uang', 'kelola', 'usaha', 'untung', 'modal', 'cma', 'untung', 'kecilyang', 'pinter', 'pilih', 'putar', 'uang', 'usaha', 'untung', 'kecil', 'gantung', 'gimana', 'kelola', 'usaha']",0,0
"['aplikasi', 'buka', 'websitenya']",0,0
"['aplikasi', 'bibit', 'manfaat', 'kalang', 'mula', 'investasi', 'reksadana', 'aplikasi', 'bibit', 'saran', 'depan', 'fitur', 'emas', 'aplikasi', 'bibit', 'aplikasi', 'bibit', 'cuan']",1,1
"['moga', 'aplikasi', 'bibit', 'depan', 'rdn', 'status', 'payment', 'dana', 'hasil', 'jual', 'kirim', 'bank', 'kustodian', 'info', 'status', 'transfer', 'hasil', 'jual']",1,1
['proses'],0,0
"['aplikasi', 'bagus', 'tabung', 'reksadanamantapterus', 'update', 'minda', 'tolong', 'kerja', 'verifikasi', 'manager', 'tingkat', 'lagikarena', 'tempo', 'alami', 'verifikasi', 'manager']",1,1
"['share', 'alam', 'ku', 'alhamdulillah', 'pakai', 'referal', 'sayangiuangmu', 'beneran', 'cashback', 'rb', 'moga', 'berkah', 'amin']",1,1
"['mohon', 'bantu']",1,1
"['verifikasi', 'data', 'koq', 'nabung']",0,0
"['siang', 'kakmau', 'sy', 'buka', 'aplikasi', 'bibit', 'knp', 'yaketerangan', 'web', 'tersediamhn', 'penjelasnnya', 'kaktrmks']",1,1
"['aplikasi', 'unfaedahmana', 'total', 'uang', 'masuk', 'rbaplikasinya', 'gk', 'bs', 'dbuka']",0,0
"['mula', 'investasi']",1,1
